Name,Email,Phone Number,"Origin (City, State)",Website URL,Category,Verified Status
Fondue Chinoise,,(415) 217-8888,"San Francisco, CA",https://www.manta.com/c/mt9xj0s/fondue-chinoise,Restaurants and Bars,MANTA VERIFIED
Eppies Restaurant,,(916) 371-7767,"West Sacramento, CA",https://eppieswestsac.com/eppies-menus/,Restaurant,MANTA VERIFIED
Hot food to go,,(510) 387-6653,"Cameron Park, CA",,Fast Food Restaurants and Stands,MANTA VERIFIED
Delectables Catering and Venue,,(520) 884-9289,"Tucson, AZ",https://delectablescateringandvenue.com/,Caterers,MANTA VERIFIED
In Common NYC Cafe,,(646) 370-3099,"New York, NY",https://www.incommonnyc.com/,Restaurant,MANTA VERIFIED
Crossroads of Ivanhoe,,(847) 949-9009,"Mundelein, IL",https://crossroadsofivanhoe.com/,Eating places,MANTA VERIFIED
JimmyLs BBQ & Catering,,(308) 249-1765,"Sidney, NE",https://jimmysbbq.com/,Caterers,MANTA VERIFIED
Chrome Plated Catering,,(800) 853-9583,"Atlanta, GA",,Catering,MANTA VERIFIED
Nokaoi,,(303) 277-9677,"Golden, CO",https://nokaoicatering.com/,Party Catering Services,MANTA VERIFIED
Pollo's,,(714) 535-7777,"Anaheim, CA",https://polloshawaii.com/,Chicken restaurant,MANTA VERIFIED
CBC: Cajun Boiling Crab - L.A.,,(323) 815-1749,"Los Angeles, CA",https://www.cajunboilingcrabla.com/,Seafood,MANTA VERIFIED
Shanghai Impression,,(929) 282-8638,"Flushing, NY",,Chinese Restaurants,MANTA VERIFIED
Nutritional Productions Inc,,(818) 301-4741,"Santa Clarita, CA",https://nutritionalproductions.com/,Food Bars,MANTA VERIFIED
RoadRunners,,(800) 683-4768,"Coplay, PA",http://eatroadrunners.com,Restaurant Delivery,MANTA VERIFIED
Tino's Kitchen,,(844) 387-4899,"Chicago, IL",https://tinoskitchen.com/,Eating places,MANTA VERIFIED
Waffles and Whatnot,,(907) 406-4503,"Anchorage, AK",https://wafflesandwhatnot.com/,Waffles,MANTA VERIFIED
The Crazy ClamDigger - Waterbury LLC,,(203) 756-2526,"Waterbury, CT",https://thecrazyclamdigger.com/,Fish,MANTA VERIFIED
Tipsy Pony Party Bar,,(314) 322-1812,"Wentzville, MO",https://tipsyponypartybar.com/,Mobile Bar,MANTA VERIFIED
Reyhoon Catering Inc,,(425) 420-4017,"Kirkland, WA",https://reyhooncatering.com/,Caterer,MANTA VERIFIED
kbae worldwide inc.,,(657) 213-9055,"Garden Grove, CA",https://kbaeworldwide.com/,"Restaurant, Lunch Counters",MANTA VERIFIED
La Cocina Patina LLC,,(843) 225-6386,"Mount Pleasant, SC",https://lacocinapatina.com/,Mobile Concessions,MANTA VERIFIED
Bumblebees BBQ & Grill,,(801) 869-1600,"West Valley City, UT",https://bumblebeesbbq.com/,Burgers,MANTA VERIFIED
C.R.E.A.M. & Sugar Coffee House,,(801) 607-5725,"Orem, UT",https://creamandsugarcoffeehouse.com/,Coffee,MANTA VERIFIED
Cubaneo,,(773) 799-8808,"Chicago, IL",https://cubaneo.com/,Restaraunt,MANTA VERIFIED
Chesterfield's Tavolo,,(315) 732-9356,"Utica, NY",https://chesterfields-tavolo.com/,Food,MANTA VERIFIED
Davids Catfish House,,(850) 455-1610,"Pensacola, FL",https://davidscatfishhouse.com/,Seafood Restaurants,MANTA VERIFIED
"Takeout Guys, LLC",,(207) 451-5858,"Eliot, ME",https://takeoutguysllc.com/,Restaurant Delivery Services,MANTA VERIFIED
KEKOA Poke + Kitchen,,(561) 218-4523,"Boca Raton, FL",https://kekoapoke.com/,Restaurants,MANTA VERIFIED
Luke's Deli,,(608) 756-1123,"Janesville, WI",https://lukesdeli.com/,"Restaurant, Lunch Counters",MANTA VERIFIED
"E77 Sports Bar, Gaming and Restaurant",,(708) 897-0538,"Midlothian, IL",https://e77sportsbar.com/,Food Bars,MANTA VERIFIED
Hall 106,,(708) 543-1407,"Chicago, IL",https://hall106.com/,Banquet Hall,MANTA VERIFIED
Bumblebee's KBBQ & Grill,,(801) 607-2543,"Provo, UT",https://bumblebeeskbbq.com/,Burgers,MANTA VERIFIED
Inside Scoop Creamery,,(612) 306-8672,"Denver, CO",https://insidescoopcreamery.com/,Ice-cream,MANTA VERIFIED
Anitas Kitchenaire,,(216) 250-2624,"Southfield, MI",https://anitas-kitchenaire.com/,Food Delivery Restaurants,MANTA VERIFIED
Swizzle Bartending,,(448) 488-2842,"Tallahassee, FL",https://swizzlebartending.com/,Hosted Bar Service,MANTA VERIFIED
Yah Suh NYCE,,(347) 475-0402,"Queens, NY",https://yahsuhnyce.com/,Catering,MANTA VERIFIED
Comfort Cuisine,,(661) 769-5595,"Bradbury, CA",https://comfortcuisinecatering.com/,Chicken,MANTA VERIFIED
Sweet Relief Catering,,(203) 789-9800,"West Haven, CT",https://sweetreliefcatering.com/,Wedding Caterers,MANTA VERIFIED
Pies 'N Thighs,,(516) 703-2299,"Brooklyn, NY",https://piesnthighs.com/,Dine-in,MANTA VERIFIED
Gallery Grill Poke House LLC,,(410) 539-4026,"Baltimore, MD",https://gallerygrillpoke.com/,undefined,MANTA VERIFIED
Wall Street North,,706-202-7734,"Athens, GA",,Night Clubs,MANTA VERIFIED
The Galleria Infused Restaurant,,3122755772,"Chicago, IL",https://thegalleriainfused.com/,Food Bars,MANTA VERIFIED
LAURA'S THREE SPOON,,9292742312,"Lorton, VA",https://laurasthreespoon.com/,Restaurants,MANTA VERIFIED
Coasters Coffee Co,,4023639084,"Aurora, NE",https://coasterscoffee.com/,Coffee Shops,MANTA VERIFIED
Tropical Breeze bar and grill,,8033684948,"Columbia, SC",,Grills (Eating Places),MANTA VERIFIED
El Vaquero Kirksville,,6606650256,"Kirksville, MO",https://elvaquerokirksville.com/,undefined,MANTA VERIFIED
Hot Spicy Cuisine,,(304) 458-7527,"Cameron, WV",https://hotspicycuisine.com/,undefined,MANTA VERIFIED
LA Styles Delivery,,404-487-5244,"Harrisburg, PA",https://lastylesdelivery.com/,undefined,MANTA VERIFIED
China King Illinois Chinese - Asian Restaurant,,6189399888,"Waterloo, IL",https://chinakingillinois.com/,undefined,MANTA VERIFIED
BarPizzaQue,,(708) 866-5151,"Worth, IL",https://barpizzaque.com/,undefined,MANTA VERIFIED
Surah Steakhouse,,3018295682,"Mount Airy, MD",https://surahsteakhouse.com/,undefined,MANTA VERIFIED
US Custom Concessions,,(813) 442-6504,"Tampa, FL",https://uscustomconcessions.com/,undefined,MANTA VERIFIED
Nassau Bagel CO,,,"Princeton, NJ",,Sushi Bars,CLAIMED
King Jade Restaurant,,5082345968,"Whitinsville, MA",,Chinese Restaurants,CLAIMED
